Zone;Type_Forme;Rack_Id;Position_X;Position_Y;L_x;L_Y;Emplacement
Zone1;R;100A0;5981;875;69;129;RA
Zone1;R;100B0;5981;742;69;130;RA
Zone1;R;101A0;5767;282;210;260;RA
Zone1;R;101A5;5766;743;210;260;RA
Zone1;R;101B0;5553;282;210;260;RA
Zone1;R;101B5;5554;743;210;260;RA
Zone1;R;101C0;5339;282;210;260;RA
Zone1;R;101C5;5339;743;210;260;RA
Zone1;R;101D0;5126;282;210;260;RA
Zone1;R;101D5;5126;743;210;260;RA
Zone1;R;101E0;4913;283;210;259;RA
Zone1;R;101E5;4911;742;210;259;RA
Zone1;R;101F0;4698;283;210;259;RA
Zone1;R;101F5;4697;743;210;260;RA
Zone1;R;101G0;4485;283;210;259;RA
Zone1;R;101G5;4485;743;210;260;RA
Zone1;R;101H0;4271;283;210;259;RA
Zone1;R;101H5;4270;743;210;260;RA
Zone1;R;101K0;4058;283;210;259;RA
Zone1;R;101K5;4057;743;210;260;RA
Zone1;R;101L0;3843;283;210;259;RA
Zone1;R;101L5;3844;743;210;260;RA
Zone1;R;102A0;3629;283;210;259;RA
Zone1;R;102A5;3629;742;210;259;RA
Zone1;R;102B0;3417;283;210;259;RA
Zone1;R;102B5;3416;742;210;259;RA
Zone1;R;102C0;3202;283;210;259;RA
Zone1;R;102C5;3202;742;210;259;RA
Zone1;R;102D0;2989;283;210;259;RA
Zone1;R;102D5;2987;742;210;259;RA
Zone1;R;102E0;2774;283;210;259;RA
Zone1;R;102E5;2775;742;210;259;RA
Zone1;R;102F0;2562;283;210;259;RA
Zone1;R;102F5;2561;742;210;259;RA
Zone1;R;102G0;2347;283;210;259;RA
Zone1;R;102G5;2347;740;210;260;RA
Zone1;R;102H0;2133;283;210;259;RA
Zone1;R;102H5;2133;742;210;259;RA
Zone1;R;102K0;2001;429;120;60;CDX
Zone1;R;102K5;1974;742;155;259;RA
Zone1;R;102L0;1865;429;120;60;CDX
Zone1;R;102L5;1815;742;155;259;RA
Zone1;R;102M0;1733;429;120;60;CDX
Zone1;R;102M5;1611;742;200;259;RA
Zone1;R;102N0;1595;429;120;60;CDX
Zone1;R;102N5;1454;742;155;259;RA
Zone1;R;102P0;1460;429;120;60;CDX
Zone1;R;102Q0;1317;429;120;60;CDX
Zone1;R;102R0;1170;640;120;60;CDX
Zone1;R;103A100;1170;705;120;79;PA
Zone1;R;103A200;1170;790;120;79;PA
Zone1;R;103A300;1170;875;120;40;PA
Zone1;R;103A400;1170;920;120;40;PA
Zone1;R;103A500;1170;965;120;40;PA
Zone1;R;103A600;1170;1010;120;40;PA
Zone1;R;103A700;1170;1055;120;40;PA
Zone1;R;103B000;1170;1100;120;40;PA
Zone1;R;103B100;1170;1145;120;40;PA
Zone1;R;103B200;1170;1190;120;40;PA
Zone1;R;103B300;1170;1235;120;40;PA
Zone1;R;103B400;1170;1280;120;40;PA
Zone1;R;103B500;1170;1325;120;40;PA
Zone1;R;103A5;1399;742;52;258;CDX
Zone1;R;103B0;1170;1370;120;260;RA
Zone1;R;103E0;1080;1635;210;260;RA
Zone1;R;103F0;1399;1944;260;120;RA
Zone1;R;103F0;1664;1944;260;120;RA
Zone1;R;103E050;1479;1575;120;40;PA
Zone1;R;103E150;1479;1620;120;40;PA
Zone1;R;103E250;1479;1665;120;80;PA
Zone1;R;103F050;1479;1750;80;40;PA
Zone1;R;103F150;1479;1795;80;40;PA
Zone1;R;103F250;1479;1840;80;40;PA
Zone1;R;103F550;1564;1760;80;120;PA
Zone1;R;103F650;1649;1760;40;120;PA
Zone1;R;103F750;1694;1760;40;120;PA
Zone1;R;103F850;1739;1760;80;120;PA
Zone1;R;103H5;1780;1600;40;150;RA
Zone1;R;103H0;1993;1533;80;130;RA
Zone1;R;103G0;1993;1668;80;240;RA
Zone1;R;104B0;1604;1575;60;60;RA
Zone1;R;103B5;1399;1177;54;240;CDX
Zone1;R;103C5;1459;1177;241;240;RA
Zone1;R;104B5;1705;1177;193;240;RA
Zone1;R;104C5;1903;1177;199;240;RA
Zone1;R;104D0;2087;1531;230;240;RA
Zone1;R;104D5;2109;1177;230;240;RA
Zone1;R;104E0;2324;1531;228;240;RA
Zone1;R;104E5;2351;1175;306;240;RA
Zone1;R;104F5;2665;1177;270;240;RA
Zone1;R;104G0;2604;1601;60;114;RA
Zone1;R;104G5;2793;1581;60;119;RA
Zone1;R;104H0;2604;1719;60;114;RA
Zone1;R;104H5;2793;1705;60;130;RA
Zone1;R;104K0;2604;1837;60;130;RA
Zone1;R;104K5;2793;1838;60;131;RA
Zone1;R;104L0;2604;1970;60;131;RA
Zone1;R;104L5;2793;1972;60;130;RA
Zone1;R;104O0;2789;1546;63;31;RA
Zone1;R;104O5;3045;1569;60;131;RA
Zone1;R;104P0;2857;1705;60;130;RA
Zone1;R;104P5;3044;1705;60;130;RA
Zone1;R;104Q0;2857;1838;60;129;RA
Zone1;R;104Q5;3044;1838;60;131;RA
Zone1;R;104R0;2857;1972;60;130;RA
Zone1;R;104R5;3045;1972;60;130;RA
Zone1;R;104S0;2853;1546;66;30;RA
Zone1;R;104S5;2940;1177;270;240;RA
Zone1;R;104T0;3107;1571;60;131;RA
Zone1;R;104T5;3275;1576;60;130;RA
Zone1;R;104U0;3107;1705;60;130;RA
Zone1;R;104U5;3275;1713;60;131;RA
Zone1;R;104V0;3107;1838;60;131;RA
Zone1;R;104V5;3275;1839;60;131;RA
Zone1;R;104X0;3107;1972;60;130;RA
Zone1;R;104X5;3276;1974;60;131;RA
Zone1;R;104Z5;3210;1177;270;240;RA
Zone1;R;105A0;3400;1531;147;55;RA
Zone1;R;105A5;3484;1177;270;240;RA
Zone1;R;105B0;3400;1590;210;270;RA
Zone1;R;105B5;3762;1565;54;131;RA
Zone1;R;105C0;3400;1865;210;270;RA
Zone1;R;105C5;3761;1700;54;114;RA
Zone1;R;105D5;3761;1820;54;147;RA
Zone1;R;105E5;3762;1973;54;147;RA
Zone1;R;105F5;3760;1177;270;240;RA
Zone1;R;105G0;3818;1566;54;130;RA
Zone1;R;105G5;4042;1611;260;210;RA
Zone1;R;105M000;4152;1523;120;80;PA
Zone1;R;105H0;3818;1701;54;117;RA
Zone1;R;105H5;4042;1826;260;210;RA
Zone1;R;105K0;3819;1824;54;145;RA
Zone1;R;105L0;3819;1973;53;146;RA
Zone1;R;105M0;5384;2012;120;80;PA
