zone;Rack_id;Segment_id;position
1;100A0;1;17
1;100B0;1;56
1;101A0;2;6
1;101A5;2;6
1;101B0;2;10
1;101B5;2;10
1;101C0;2;14
1;101C5;2;14
1;101D0;2;19
1;101D5;2;19
1;101E0;2;23
1;101E5;2;23
1;101F0;2;27
1;101F5;2;27
1;101G0;2;32
1;101G5;2;32
1;101H0;2;36
1;101H5;2;36
1;101K0;2;40
1;101K5;2;40
1;101L0;2;46
1;101L5;2;46
1;102A0;2;50
1;102A5;2;50
1;102B0;2;55
1;102B5;2;55
1;102C0;2;59
1;102C5;2;59
1;102D0;2;63
1;102D5;2;63
1;102E0;2;67
1;102E5;2;67
1;102F0;2;73
1;102F5;2;73
1;102G0;2;77
1;102G5;2;77
1;102H0;2;82
1;102H5;2;82
1;102K0;2;86
1;102K5;2;86
1;102L0;2;89
1;102L5;2;89
1;102M0;2;92
1;102M5;2;92
1;102N0;2;96
1;102N5;2;96
1;102P0;2;99
1;102Q0;2;100
1;103A0;3;28
1;103A5;3;31
1;103B0;3;70
1;103B5;3;75
1;103C5;7;43
1;103D0;4;47
1;103D5;4;53
1;103E5;4;53
1;103F0;5;0
1;103F5;5;59
1;103G0;6;0
1;103H0;6;44
1;103H5;6;63
1;104B0;7;89
1;104B5;7;89
1;104C5;8;12
1;104D0;8;34
1;104D5;8;42
1;104E0;8;58
1;104E5;8;73
1;104F5;8;100
1;104G0;9;29
1;104G5;9;29
1;104H0;9;49
1;104H5;9;49
1;104K0;9;68
1;104K5;9;68
1;104L0;9;89
1;104L5;9;89
1;104O0;11;30
1;104O5;11;30
1;104P0;11;48
1;104P5;11;48
1;104Q0;11;69
1;104Q5;11;69
1;104R0;11;89
1;104R5;11;89
1;104S0;12;42
1;104O0;10;43
1;104S5;12;42
1;104T0;13;30
1;104T5;13;30
1;104U0;13;48
1;104U5;13;48
1;104V0;13;69
1;104V5;13;69
1;104X0;13;89
1;104X5;13;89
1;104Z5;14;22
1;105A0;14;59
1;105A5;14;81
1;105B0;15;29
1;105B5;15;32
1;105C0;15;50
1;105C5;15;50
1;105D0;15;69
1;105D5;15;69
1;105E0;15;91
1;105E5;15;91
1;105F5;16;72
1;105G0;17;29
1;105G5;17;29
1;105H0;17;48
1;105H5;17;48
1;105K0;17;69
1;105K5;17;69
1;105L0;17;90
1;105L5;17;90
1;105M0;18;14
1;105M5;18;14
1;105N0;18;33
1;105N5;18;33
1;105P0;18;47
1;105P5;18;47
1;105Q0;18;67
1;105Q5;18;73
1;105R0;18;87
1;105R5;18;87
1;105S5;18;100
1;105T0;19;43
1;105T5;19;43
1;105U0;19;76
1;105U5;19;76
1;105V0;20;0
;;;
;;;
;;;
;;;
;;;
